nama_siswa,alamat_siswa,nilai_rapor,nilai_ujian_sekolah,nilai_ujian_nasional,aktivitas_ekstrakurikuler,prestasi_olimpiade,minat_jurusan,sekolah_asal,lokasi,sekolah_sma
Michael Jimenez,"7897 Nathan Fork
Rebeccamouth, OK 47384",8,83,84,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Linda Newman,"6768 Laura Neck Suite 243
Alicetown, NJ 12626",9,90,64,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Sarah Marquez,"0536 Angela Crossroad
East Cynthiaside, OH 26811",10,70,96,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Denise Moran,"50906 Jonathon Stream
West Williamshire, SC 68272",10,77,85,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Ronald Erickson,"Unit 2649 Box 2820
DPO AE 49703",8,78,78,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Brandon Foster MD,"2745 Nicole Road Apt. 610
New Heather, WY 06684",10,71,74,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
John Campbell,"264 Coleman Village Apt. 108
West Andrewstad, MP 89369",8,70,95,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Sarah Daugherty,"157 Raymond Parks
Port Brandontown, NE 72227",7,95,66,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Daniel Martinez,"806 Brown Springs Suite 006
East Amy, WV 10014",10,79,75,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Benjamin Reese,"7606 Matthew Union
West Cynthia, IL 04316",7,88,61,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Timothy Rivera,"31728 Micheal Crossing
North Laurashire, MA 84116",7,70,99,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
John Jones,"129 George Junction
West Robert, TX 02123",10,79,66,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Antonio Ashley,"049 Shawn Expressway Apt. 981
Danielchester, AK 39936",9,91,81,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kimberly Archer,"80411 Hudson Trace
Michealshire, SD 22312",10,85,96,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Kimberly Lynch,"47439 Patterson Stream Apt. 226
Hernandezland, NY 82402",9,75,90,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Kelly Kim,"75815 Gary Lake Suite 276
South Josephview, WI 51901",8,85,64,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Brian Sloan,"16461 April Row Suite 374
Hammondshire, AK 14348",9,86,64,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Stanley Ellis,"6797 Ryan Trafficway
Patrickfort, FL 57924",9,76,66,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
James Hays,"104 Gonzalez Summit
Port Tracy, NE 39914",10,93,66,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Matthew Ellis,"335 Garcia Shores Suite 950
Stephensonmouth, UT 02654",9,92,64,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Sydney Maxwell,"USCGC Hammond
FPO AA 71163",9,74,100,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Barbara Robinson,"3083 Owens Prairie Suite 212
Port Tanyachester, MP 70904",9,80,97,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Kevin Bridges,"98837 Robert Field Suite 309
New Melissa, WI 81983",8,93,80,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Tammy Vaughan,"853 Sparks Fork
West Adam, MP 71977",9,83,62,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Travis Moore,"05049 Peter Streets Suite 194
South Amandastad, OH 61169",10,73,87,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kathleen Mendoza,"USCGC Shepherd
FPO AP 99843",9,91,78,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Patrick Fletcher,"04331 Theresa Rest Suite 432
East Jose, IA 36712",9,87,95,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Dana Farmer,"719 Brenda Knoll
East Kaitlynburgh, KY 95969",8,79,97,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Steven Buck,"Unit 8736 Box 9525
DPO AP 09680",9,91,86,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Alec Dean,"620 Diane Pass Suite 040
Monicafort, IN 24102",10,71,72,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Brian Alexander,"8056 Alexis Shores Suite 803
West Ericmouth, RI 04442",8,88,80,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Michelle Turner,"0385 Raymond Walk
East Crystal, PW 46161",9,75,94,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Seth Pierce,"03594 Miller Plaza Suite 678
New Dianaville, TX 24146",10,86,69,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Joshua Rojas,"7988 Williams Points
Carrland, VA 92161",8,80,72,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Catherine Garza,"PSC 2954, Box 2741
APO AA 54164",9,82,82,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Jessica Saunders,"9260 James Meadow Suite 443
South Wendy, VT 88510",9,94,94,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Tanya Garza,"121 Benton Shoal
North Philipburgh, VT 84575",9,79,85,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jesus Johnson,"3398 Hernandez Estates Apt. 014
North Sandrachester, LA 52010",7,93,95,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Michelle Garza,"918 Robert Shores
Lake Tiffanytown, AL 27973",9,71,78,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Mary Patel,"74410 Michelle Isle
East Stevenside, VT 99700",9,70,75,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Devon Callahan,"PSC 7627, Box 7202
APO AE 17488",8,92,60,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Robert Olson,"14071 Misty Streets
Lake Michael, AZ 20058",9,99,85,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Christopher Frost,"082 Monique Square Apt. 551
New Michele, MS 16259",9,85,85,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Jason Blake,"0909 Ruiz Shore Apt. 391
Travisborough, NV 34426",8,89,98,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Joshua Walker,"PSC 6636, Box 5958
APO AP 28346",7,100,63,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Tina Guzman,"2266 Teresa Ways
New Christinemouth, AL 87454",9,96,88,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Peter Mcintosh,"8168 Sara Camp Apt. 820
Swansonburgh, MS 59852",8,88,65,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Joseph Hoover,"8498 Turner Plaza Apt. 820
East Reginatown, NV 50807",10,99,88,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Anthony Hahn,"7152 Sarah Ranch Suite 920
Port Jacob, MS 70656",8,84,81,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Aaron Lee,"83755 Daniel Estates Suite 536
Smithburgh, ID 19960",9,96,75,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Kyle Sanders,"USS West
FPO AP 58984",8,88,99,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Thomas Everett,"103 Hunt Skyway Suite 358
Josephside, IL 54991",8,81,98,olahraga,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Rebecca Myers,"34689 Daniels Highway Apt. 259
Port Vincentmouth, DC 23131",8,86,68,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Madison Brown,"91180 Sarah Mills Suite 321
Michaelberg, KS 50987",9,92,86,olahraga,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Sonya Brock,"1064 Marilyn Islands
Lake Rachelchester, WA 17931",8,79,100,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
David Colon,"874 Reed Village
East Zacharyside, TX 97384",10,91,68,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Brian Sullivan,"195 Amanda Stream Suite 412
Moorechester, CO 88386",9,90,71,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Randy Sanchez,"982 Bradley Mission Suite 168
Patelland, AZ 97029",9,85,93,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Emily Herrera,"40158 Reilly Mountains Apt. 181
Flowerschester, VI 94522",8,81,99,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jason Stewart,"159 Colleen Cliffs
Davisfurt, MP 03214",7,96,69,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Timothy Vazquez,"947 Montgomery Camp
West April, NJ 05109",9,73,82,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Amber Mason,"PSC 6159, Box 0293
APO AP 77928",8,100,68,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Timothy Little,"70471 Hall Lodge
Johnsonshire, KS 97788",8,96,99,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Stephanie Brown,"68211 Gordon Way Suite 249
Fernandezborough, GA 24547",8,90,98,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Nancy Williams,"817 Jessica Lodge Suite 637
Lake Karen, HI 53363",10,75,64,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Tammy Brooks,"44547 Johnson Inlet
Courtneyland, OH 58570",7,88,74,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jessica Luna,"Unit 5605 Box 9616
DPO AP 15633",8,71,70,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jessica Valdez,"Unit 6141 Box 8310
DPO AE 78134",9,99,78,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
William Ellis,"2264 Perkins Union
Sparksstad, AL 98286",9,88,88,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Michael Anderson,"4719 Cook Brook Suite 832
South Gabriella, MD 20379",8,84,75,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Christopher Johnson,"32576 Logan Key Suite 912
Briantown, MP 18918",9,82,87,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Candice Ware,"3601 Melissa Centers Apt. 172
Fisherborough, WA 01245",10,89,99,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Amanda Fernandez,"300 Michael Drive Apt. 865
Lawrenceland, OK 96531",9,87,63,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Donna Anderson,"838 Warren Ranch
Martinezport, GA 12024",8,81,99,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Amanda Blake,"728 Kurt Drive Apt. 682
New Nicholas, OH 12352",9,77,65,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Jordan Nguyen,"941 Mary Roads
South Jeffreyborough, CA 45042",9,91,69,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Patricia Spencer,"715 Simpson Station
Port Brandonfort, PA 91198",9,79,98,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Ashley Frost,"59258 Davis Common
New Danielle, NJ 78257",9,84,60,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Alyssa Cunningham,"PSC 4826, Box 1672
APO AA 30615",10,73,92,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Steven Yoder,"937 Wright Fork Suite 410
Greeneberg, PW 03530",7,82,64,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Lori Roberts,"10216 Daniel Rest
Timothyhaven, HI 68612",10,80,89,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
James Brown,"Unit 5034 Box 3465
DPO AP 21148",9,97,89,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Christopher Mccarthy,"877 Brenda Well Suite 743
North Matthew, MH 89604",7,90,79,sains,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Suzanne Huffman,"7397 Shelton Pass
Walshberg, WV 12716",10,90,62,seni,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
William Zamora,"6374 Simmons Circles Apt. 139
Phillipsfort, MI 93881",9,70,84,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Steven Reeves,"4033 Anthony Passage Apt. 193
Evelynside, AZ 07936",9,75,83,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Melanie Gomez,"USNV Martin
FPO AE 08961",9,86,87,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Joseph Matthews,"4136 Newman Row Suite 787
Morrisborough, TN 09754",7,91,70,sains,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Charles Joyce,"42118 Roberts Hollow
North Thomas, GU 41092",8,70,69,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Nicole Patterson,"6895 Adams Harbors Suite 928
North Vanessa, HI 34587",9,70,90,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Michael Lucas,"985 Lloyd Rapids
New Ashleyburgh, NM 98350",10,89,89,sains,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jessica Winters,"437 Natalie Cliffs
Port Micheleton, IL 19235",10,72,96,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Debbie Frazier,"202 Rodney Key Suite 811
Campbellland, WA 01889",8,88,63,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Ashley Savage,"PSC 4351, Box 5975
APO AE 49265",8,88,68,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Joshua Harrington,"865 Murphy Street
Lake Johnfurt, GU 52336",9,84,77,seni,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
David Colon,"443 Gonzalez Lights Suite 231
East Cynthiaburgh, AL 93967",8,71,93,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Brenda Torres,"408 Michael Villages Apt. 460
North Michael, NJ 20996",9,88,68,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
David Murphy,"7715 Cruz Shoal
Beckton, MT 09060",8,78,69,sains,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Monica Barrera,"001 Fletcher Square
East Diane, PR 67571",7,77,96,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Brian Ali,"28877 Andrew Plains
Smithhaven, ME 69767",7,84,72,sains,,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Peter Fields,"18443 Parker Junctions Apt. 495
Petersonmouth, SD 89455",7,95,75,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Tonya Russell,"0976 Seth Lodge
East Kevinside, WV 84812",10,81,75,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Jonathan Delgado,"508 Stevenson Mountain
West Meganmouth, OR 32476",10,71,96,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Rita Jordan,"002 Mcdonald Forges
Bakerside, MO 85461",8,73,91,olahraga,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Robert Smith,"6953 Pamela Stream
Lake Jermaineberg, AS 15410",7,79,89,seni,fisika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Tiffany Molina,"PSC 1669, Box 9577
APO AE 60959",9,87,97,sains,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Carol Watson,"44421 Lisa Lodge
New Mary, AZ 19674",7,87,64,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Gail Morton,"39328 Beltran Mission Apt. 238
Lake Andre, NV 82507",7,76,96,seni,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Karen Gates,"691 Mitchell Points Apt. 214
East Joannaton, IN 38865",10,74,65,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Robert Hart,"498 Ruben Points
Oconnellland, MN 13056",9,91,72,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Kelsey Doyle,"54312 Connor Mews
Meagantown, AL 25651",8,86,62,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jennifer Baird,"5526 Timothy Pines
Lake Patricia, HI 18673",7,73,84,seni,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Steve Johnson,"513 Mark Drives
West Michael, MH 36531",8,88,66,seni,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Roberto Edwards,"USNS Gray
FPO AE 39356",9,70,88,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Paul Miller,"4967 Phelps Park
West Elijah, NY 69301",10,79,71,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Ernest Hooper,"855 Laurie Isle Apt. 366
Lake Vanessa, OH 40199",8,98,66,olahraga,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Mrs. Nicole Vincent,"769 Sarah Brooks
Lake Kennethton, SD 37530",9,100,88,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Lori Townsend,"415 Smith Lake
South Laura, NM 32453",10,73,94,seni,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Kevin Howard,"5942 Ellis Radial
Lake Dennis, TX 84167",8,88,71,olahraga,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Wesley Graham,"214 Tina Island Suite 605
New Marissaton, NC 52131",8,89,89,sains,,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Tiffany Davidson,"340 Derek Valleys Suite 623
North Joshua, IN 03589",10,94,69,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Michael Velazquez,"4415 Calhoun Greens
East Gwendolynstad, HI 63632",8,84,62,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Michael King,"7917 Donna Overpass
Kathleenberg, MD 99175",8,77,95,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Gwendolyn Chambers,"67394 Samuel Underpass Apt. 427
Rhondaborough, MN 66801",9,88,93,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Calvin Scott,"44557 Adam Roads Apt. 144
Heatherbury, VI 93863",8,91,79,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
George Noble,"782 Kevin Fall
Hallville, WA 51142",9,76,84,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
James Reynolds,"434 Robert Court
Luishaven, OH 59467",8,73,78,olahraga,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Matthew Gibson,"6902 Ashley Mission Suite 969
Laurenview, ND 10861",9,97,67,sains,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Teresa Smith,"73704 David Corner
Michelestad, AR 52501",9,70,85,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Jodi Parsons,"94982 Robert Street Suite 197
Harmonmouth, RI 86407",7,97,71,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Cindy Lucero,"6214 Johnson Parkway Apt. 782
East Theresa, SC 66328",10,85,67,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Andrew Clark,"32925 Diamond Burgs Suite 502
Andreberg, WV 57654",9,81,91,olahraga,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 1 Kota Kediri
Brenda Burns,"386 Small Harbors
Taylorton, MI 73062",7,82,72,seni,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Lauren Kennedy,"1461 Thornton Hill Suite 078
South Michelle, SD 49047",10,90,64,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Christina Roberts,"6938 Michael Canyon Suite 844
West Ianhaven, MI 22153",7,91,78,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Kelly Johnson,"8429 Holloway Spurs
New Marychester, CT 86246",8,80,97,seni,,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Andrew Rich,"179 Durham Ville Suite 596
Lake Angelaberg, ME 32964",8,87,74,seni,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 3 Kota Kediri
Adam Schmidt,"8022 Michael Summit
Joneshaven, NJ 18091",7,88,93,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Jimmy Dominguez,"0894 Stephens Vista
Youngshire, NE 43896",9,98,74,olahraga,biologi,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 6 Kota Kediri
Anthony Miranda,"0964 Greene Highway
West Emily, NE 93160",8,97,84,seni,fisika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
Megan Reed,"304 Monica Fords Suite 763
North Robert, RI 96327",9,100,92,sains,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Lauren Williams,"977 Pearson Trail Suite 913
Sullivanton, MT 03465",9,85,93,olahraga,biologi,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Rachel Adams,"640 Davis Stream Apt. 641
Lisatown, AK 46341",9,77,89,sains,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Seth White,"PSC 1635, Box 0058
APO AE 84655",9,73,94,olahraga,matematika,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Micheal Parker,"08671 Wayne Square Suite 159
Thomasfurt, HI 90256",8,72,90,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 7 Kota Kediri
Amy Simon,"13257 Porter Well
Stephanieton, AR 21665",7,72,100,sains,biologi,IPS,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 2 Kota Kediri
Elizabeth Zavala,"499 Julie Park Apt. 985
Priceport, FL 02670",8,80,99,sains,fisika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 8 Kota Kediri
Dr. Brad Washington,"8575 Cordova Ville Suite 772
North Arthur, HI 90466",8,85,83,olahraga,matematika,Bahasa,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 4 Kota Kediri
Ryan Sosa,"80586 Alexander Lights Apt. 214
Port Kenneth, MI 54041",10,83,94,olahraga,matematika,IPA,SMP Negeri 1 Kediri,Dalam Kota Kediri,SMA 5 Kota Kediri
